id,date,lat,lon,country,fatalities,injuries,type,trigger,severity,location,precip35,temp35,air35,humidity35,wind35,precip34,temp34,air34,humidity34,wind34,precip33,temp33,air33,humidity33,wind33,precip32,temp32,air32,humidity32,wind32,precip31,temp31,air31,humidity31,wind31,precip30,temp30,air30,humidity30,wind30,precip29,temp29,air29,humidity29,wind29,precip28,temp28,air28,humidity28,wind28,precip27,temp27,air27,humidity27,wind27,precip26,temp26,air26,humidity26,wind26,precip25,temp25,air25,humidity25,wind25,precip24,temp24,air24,humidity24,wind24,precip23,temp23,air23,humidity23,wind23,precip22,temp22,air22,humidity22,wind22,precip21,temp21,air21,humidity21,wind21,precip20,temp20,air20,humidity20,wind20,precip19,temp19,air19,humidity19,wind19,precip18,temp18,air18,humidity18,wind18,precip17,temp17,air17,humidity17,wind17,precip16,temp16,air16,humidity16,wind16,precip15,temp15,air15,humidity15,wind15,precip14,temp14,air14,humidity14,wind14,precip13,temp13,air13,humidity13,wind13,precip12,temp12,air12,humidity12,wind12,precip11,temp11,air11,humidity11,wind11,precip10,temp10,air10,humidity10,wind10,precip9,temp9,air9,humidity9,wind9,precip8,temp8,air8,humidity8,wind8,precip7,temp7,air7,humidity7,wind7,precip6,temp6,air6,humidity6,wind6,precip5,temp5,air5,humidity5,wind5,precip4,temp4,air4,humidity4,wind4,precip3,temp3,air3,humidity3,wind3,precip2,temp2,air2,humidity2,wind2,precip1,temp1,air1,humidity1,wind1,precip0,temp0,air0,humidity0,wind0,slope
3272,12/13/08,21.0559,105.829,Vietnam,92,0,landslide,downpour,medium,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,80,1023,96,12,0,76,1027,73,13,0,75,1027,67,12,0,70,1024,66,8,0,70,1027,78,14,0,80,1021,82,9,0,79,1020,95,7,0,78,1021,93,8,0,83,1016,88,13,0,79,1020,84,12,7
7724,11/4/08,21.3,106.623,Vietnam,41,0,complex,tropical_cyclone,medium,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.5,87,1017,95,18,0,88,1019,91,16,0,87,1017,84,16,0.4,88,1014,88,15,3.3,90,1014,94,18,7.3,89,1013,95,18,6.1,86,1014,95,17,13.8,83,1016,96,16,3.9,76,1017,94,17,1.1,80,1016,95,14,34
1214,9/16/08,22.2666,104.07,Vietnam,37,0,complex,tropical_cyclone,medium,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,81,1015,100,8,0,80,1014,100,6,0.7,86,1013,100,6,0,90,1013,100,8,0.1,87,1013,97,9,0.4,88,1012,99,9,0,88,1013,100,10,0.4,89,1013,100,8,0.2,90,1012,99,6,0,90,1011,100,9,124
872,11/21/17,20.652251,105.156024,Vietnam,18,0,landslide,downpour,large,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.2,88,1015,92,9,0.1,88,1014,94,8,0.3,91,1015,96,7,0.3,85,1016,95,10,0,91,1015,96,10,0,104,1012,97,9,0.8,94,1016,93,14,0,76,1018,84,8,0.1,64,1020,84,9,0,76,1021,79,8,125
6578,5/11/11,18.9954,105.4625,Vietnam,18,0,rock_fall,mining,large,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,108,1009,78,16,0,102,1010,95,21,2.4,86,1012,95,18,3.9,94,1011,96,15,0,106,1009,93,11,0.3,105,1007,79,13,0,104,1006,76,12,0,106,1005,73,15,0,95,1005,80,15,0.2,104,1006,80,13,40
4720,10/19/12,21.8777,104.5658,Vietnam,16,0,landslide,downpour,large,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,83,1018,99,5,0.1,81,1017,99,4,0.7,85,1015,100,5,2,82,1014,99,4,0.5,82,1014,100,6,2.7,82,1015,100,4,4.3,87,1017,100,4,2.9,68,1021,99,8,0,79,1019,98,5,0.1,83,1016,100,4,97
7385,11/8/09,14.5179,107.8584,Vietnam,13,0,mudslide,tropical_cyclone,small,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,84,1014,96,16,0,84,1014,92,14,0.4,85,1013,93,12,8.6,78,1012,95,41,6.3,77,1016,96,31,0.2,78,1016,92,23,0.2,83,1015,91,23,0.1,83,1013,93,21,0.2,81,1012,92,14,0,88,1013,94,13,55
7504,12/15/09,15.5721,108.4671,Vietnam,13,0,landslide,tropical_cyclone,large,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,80,1017,90,9,0,82,1016,89,13,0,82,1016,90,12,0,80,1015,88,8,0,81,1015,88,10,0,81,1015,89,14,0,82,1016,92,8,0.9,84,1016,93,12,0.5,85,1016,92,8,0,87,1016,94,10,16
8439,11/4/08,21.25,104,Vietnam,13,0,complex,tropical_cyclone,medium,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,77,1018,100,8,0.8,76,1019,100,10,0.2,77,1018,100,8,0.5,70,1015,99,7,7.7,67,1014,100,8,5.3,69,1013,100,7,1,76,1014,100,8,2.3,70,1016,100,7,1.9,62,1018,100,7,2.7,68,1017,100,7,59
7017,10/1/15,23.1781,105.5054,Vietnam,12,0,landslide,rain,medium,above_road,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4,79,1010,99,4,0.4,84,1011,99,7,0.1,90,1007,99,10,3.4,90,1007,99,5,2,78,1010,98,4,0.5,86,1012,99,5,0.2,88,1011,99,6,2,89,1012,98,5,0.1,91,1014,99,6,2.9,86,1017,98,6,208
